id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48245054,Big House Little House Moonee Beach,389274280,Jenny,Coffs Harbour,-30.20748,153.1547,Entire home/apt,216.0,2.0,138,2024-08-04,3.31,1,287,22,PID-STRA-346-1
48247423,Sea to Sky at Crescent Head,260511579,Linda,Kempsey,-31.19005586788728,152.9753417149186,Entire home/apt,160.0,3.0,58,2024-09-05,2.94,1,40,31,PID-STRA-20031
48247612,"A Graceful, Colonial Style Home on Two Acres",272393992,Sam,Coffs Harbour,-30.27126,153.05029,Entire home/apt,499.0,57.46116124253323,3,2021-04-17,0.07,1,365,0,
48261416,"Romantic getaway, bush setting. Central location",144541800,Lynn,Coffs Harbour,-30.27951,153.10125,Entire home/apt,193.0,2.0,66,2024-07-07,1.58,1,297,16,PID-STRA-12329
48365982,Family Friendly Lighthouse Living with Beach Views,221043219,Rhiannon,Port Macquarie-Hastings,-31.474319,152.930313,Entire home/apt,213.0,2.0,30,2024-08-04,0.74,3,7,6,PID-STRA-14542
48366113,Family Friendly Home with Sweeping Ocean Views,221043219,Rhiannon,Port Macquarie-Hastings,-31.47537,152.93134,Entire home/apt,184.0,2.0,19,2023-05-08,0.47,3,4,0,PID-STRA-14542
48366189,Huge Family Friendly Home - Lighthouse Beach Views,221043219,Rhiannon,Port Macquarie-Hastings,-31.47482,152.92992,Entire home/apt,356.0,2.0,85,2024-01-28,2.1,3,5,13,PID-STRA-14542
48387178,Oceanic 21 - Forster Beachfront Apartment,92584367,Terri,Mid-Coast,-32.17847,152.5138,Entire home/apt,243.0,2.0,153,2024-08-30,3.68,2,251,53,PID-STRA-2291-1
48448771,Beach House in Crescent Head – 500m to beach,283569254,Nathan,Kempsey,-31.189001083374023,152.97311401367188,Entire home/apt,300.0,2.0,27,2024-05-12,0.65,22,285,11,PID-STRA-58997
48452842,Emerald Escape,147996580,Grace,Coffs Harbour,-30.16855,153.18435,Entire home/apt,233.0,2.0,66,2024-08-05,1.58,12,328,20,PID-STRA-22111
48511425,"Lake Escape, opp lake, close to beach, free kayaks",391463575,Julie,Mid-Coast,-32.33492,152.52723,Entire home/apt,176.0,2.0,15,2023-11-13,0.38,3,288,1,PID-STRA-15839
48513314,"Beachside On Twentieth, Sawtell",391475522,Pete,Coffs Harbour,-30.36309,153.10257,Entire home/apt,226.0,2.0,177,2024-08-31,4.27,1,286,49,PID-STRA-30-3
48533579,"Vista Maritima - Light, Modern, spectacular views!",391626836,Liz,Nambucca Valley,-30.64372,153.00845,Entire home/apt,220.0,3.0,28,2024-02-22,0.67,1,229,5,PID-STRA-2237-3
48535554,View side cottage,167489432,Sophia,Mid-Coast,-31.70642,152.62907,Entire home/apt,129.0,1.0,379,2024-08-22,9.72,1,122,122,PID-STRA-957
48548414,The Beach House,27077736,Pacific Palms,Mid-Coast,-32.3471166,152.5402489,Entire home/apt,420.0,2.0,17,2024-04-02,0.41,119,267,5,PID-STRA-13616
48556051,Repton Rural Retreat Close to Local Beaches,391773046,Nicole,Bellingen,-30.43009,153.02796,Entire home/apt,350.0,5.0,3,2024-08-16,0.07,1,26,1,PID-STRA-67299
48556885,Byamee Cabin,391632820,Megan,Mid-Coast,-31.99176,152.51357,Entire home/apt,186.0,57.46116124253323,53,2023-12-27,1.27,1,180,9,PID-STRA-6603
48571751,Diamond Beach Idyllic Bushland Cottage,391879187,Braiden,Mid-Coast,-32.04871,152.53373,Entire home/apt,200.0,2.0,31,2024-04-19,0.74,3,4,6,PID-STRA-24418
48576115,Sea n Tree,10805659,Sarah,Kempsey,-31.19261,152.97265,Entire home/apt,350.0,2.0,52,2024-02-17,1.26,1,249,4,PID-STRA-1509
48601484,Quiet Country Retreat,154461990,Mark,Mid-Coast,-32.21076,152.54419,Entire home/apt,200.0,2.0,64,2024-06-09,1.53,1,107,11,PID-STRA-15603
48631055,"Lake View, opp Lake, close to beach, free kayaks",391463575,Julie,Mid-Coast,-32.33385,152.52579,Entire home/apt,221.0,3.0,30,2024-08-12,0.73,3,354,5,PID-STRA-15839
48631730,The Little Garden House,392313883,Martha & Juan,Port Macquarie-Hastings,-31.44777,152.86962,Entire home/apt,111.0,1.0,307,2024-08-31,7.26,1,305,60,PID-STRA-4584
48633360,"Great Location - 5 mins to Beach, Shops, Cafes",60458740,Gael,Coffs Harbour,-30.285927,153.132935,Entire home/apt,196.0,3.0,53,2024-07-08,1.27,3,164,11,PID-STRA-4088
48633548,Luxury private suite close to town and beaches.,392326222,Garry,Port Macquarie-Hastings,-31.43843,152.91548,Entire home/apt,150.0,2.0,87,2024-09-03,2.09,1,126,24,Exempt
48663366,"""Cricklewood""...lush getaway in beautiful Bello",221020801,Peter,Bellingen,-30.43903,152.8953,Entire home/apt,200.0,2.0,95,2024-08-26,2.28,3,170,29,PID-STRA-17704
48682369,Rainforest Birdhouse - teak cabin on 40 acres,266681401,Louise,Mid-Coast,-32.42398,152.28674,Entire home/apt,230.0,2.0,66,2024-09-01,1.61,1,341,16,PID-STRA-2985
48686955,Quiet private Cabin near the beach,8759561,Sharon,Port Macquarie-Hastings,-31.44304,152.91487,Entire home/apt,156.0,2.0,28,2024-09-01,0.71,3,60,13,PID-STRA-35951
48703926,Tequila Sunset centrally located pet friendly,357357859,Katja,Kempsey,-31.18948,152.97209,Entire home/apt,125.0,1.0,149,2024-08-30,3.57,1,145,62,PID-STRA-3119
48726964,Driftwood Cottage,363172836,Kim And Mark,Coffs Harbour,-29.982,153.22297,Entire home/apt,97.0,1.0,174,2024-08-29,4.19,1,87,46,Exempt
